"AreaSuburban","AreaUrban","Children","Age","MaritalMarried","MaritalNever Married","MaritalSeparated","MaritalWidowed","GenderMale","GenderNonbinary","ChurnYes","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","TechieYes","ContractOne year","ContractTwo Year","Port_modemYes","TabletYes","InternetServiceFiber Optic","InternetServiceNone","PhoneYes","MultipleYes","OnlineSecurityYes","OnlineBackupYes","DeviceProtectionYes","TechSupportYes","StreamingTVYes","StreamingMoviesYes","PaperlessBillingYes","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check","Tenure","MonthlyCharge","Bandwidth_GB_Year","TimelyResponse","TimelyFixes","TimelyReplacements","Reliability","Options","RespectfulResponse","CourteousExchange","ActiveListening"
1,0,2,23,0,0,0,0,1,0,1,12.50184778,11,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,22.25746016,184.964681,2384.885909,4,4,5,2,2,4,3,3
0,0,1,86,0,0,1,0,0,0,0,7.868660851,11,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3
0,1,2,62,0,0,1,0,0,0,1,8.957166926,13,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,3.343811019,184.979684,1026.387172,2,2,3,4,3,5,2,4
0,1,5,68,0,0,0,0,0,0,1,8.015021713,12,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2
1,0,1,73,1,0,0,0,1,0,1,8.387624096,11,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4
1,0,1,26,0,1,0,0,0,0,0,8.386280619,12,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,2.871017037,164.964681,1086.990308,5,5,4,4,3,4,4,4
0,0,0,42,0,0,1,0,0,0,1,10.79349982,14,3,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,7.960490246,152.455519,1416.444695,5,5,5,4,3,2,4,4
1,0,3,70,1,0,0,0,0,0,1,6.194985909,11,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,4.471254161,265.146969,1007.425553,3,3,2,4,4,3,3,3
0,1,1,78,0,0,0,1,1,0,1,10.80393657,19,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,10.79028074,207.609354,1323.028419,4,4,3,6,2,5,7,4
0,1,1,50,0,1,0,0,1,0,0,7.442789019,10,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,20.13981517,149.937833,2426.030626,2,2,3,4,3,3,4,4
0,0,0,20,0,0,0,0,1,0,0,14.89762162,17,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,9.677739656,127.495766,1129.549713,3,4,3,4,5,4,3,3
0,0,0,31,0,0,0,0,1,0,0,15.66367593,6,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,7.832238337,169.992756,943.3391244,3,3,3,4,4,3,4,4
0,1,4,71,0,0,0,0,1,0,0,8.265002035,10,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,14.34766616,120.004928,1885.939118,4,4,3,3,4,3,2,5
0,1,0,63,0,0,0,1,0,0,1,15.19664016,9,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,13.85488928,222.628057,2138.107161,3,2,3,2,4,3,2,4
0,0,0,83,1,0,0,0,0,0,0,8.834079073,17,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,6.796299371,124.97808,529.40733,4,4,4,3,2,4,3,4
1,0,0,69,0,0,0,0,1,0,1,14.86100819,16,0,2,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,22.79214163,204.963371,2294.781131,3,3,3,3,2,4,4,4
0,1,3,53,0,0,0,1,0,0,1,8.124258176,18,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,10.77094687,245.128318,2072.564168,3,3,2,4,3,2,4,3
0,1,2,56,0,0,0,0,0,1,1,14.60903837,11,0,2,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,13.08671185,172.473314,1436.793746,4,4,3,3,5,3,2,2
0,0,0,63,0,1,0,0,0,0,1,10.26646787,10,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,3.174571918,159.951231,377.0810282,4,3,4,2,3,3,3,3
0,1,1,40,0,0,0,1,1,0,0,7.56618217,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17.88002366,112.455141,1606.489936,3,3,3,3,3,3,3,4
0,1,0,56,0,0,0,0,0,0,0,7.146124361,13,3,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,23.34617699,162.452604,2253.85247,6,5,4,4,4,3,5,3
0,1,6,24,1,0,0,0,0,0,0,9.807530479,10,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,6.311709178,137.483594,1353.29384,5,5,4,3,3,3,3,3
1,0,1,65,0,0,0,1,1,0,0,7.251198724,14,2,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,10.04672315,114.983787,980.9935923,2,2,3,4,3,3,4,4
0,1,2,68,0,0,1,0,1,0,1,6.076260652,13,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,4.627672042,220.161527,1038.745378,3,3,3,3,4,3,3,3
0,1,3,31,0,0,0,0,1,0,0,10.31551212,11,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,5.15825129,139.965008,1313.492851,5,5,5,4,2,3,4,3
1,0,10,76,1,0,0,0,1,0,1,13.71555406,14,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,3.237560234,137.461553,819.4195269,4,4,3,3,2,3,4,2
0,0,8,75,0,0,0,0,1,0,1,15.40917963,15,2,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,2.733109234,217.472533,882.1160656,5,4,4,4,3,5,5,3
0,1,2,72,0,1,0,0,0,0,0,8.894475174,8,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,14.53027663,220.118516,1637.201426,2,3,3,5,3,4,4,4
1,0,3,26,1,0,0,0,0,0,1,12.34250072,12,2,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,3.260462654,184.961033,1248.097652,3,4,3,3,4,4,4,4
1,0,1,46,0,0,0,0,0,0,0,8.996933306,11,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,12.63074989,159.951231,1238.421347,4,5,5,2,3,5,4,5
1,0,0,38,0,0,0,1,0,0,0,12.81260566,10,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,19.48900163,172.462354,1974.780054,4,4,4,5,2,4,4,3
1,0,3,66,0,0,0,0,0,0,1,11.2369761,11,3,2,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,12.64742067,162.471255,1357.062854,4,4,3,4,4,4,5,4
0,0,0,87,0,0,0,1,0,1,0,7.905333122,14,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,5.522376826,174.975543,737.8564608,3,4,2,3,4,4,4,4
0,1,7,23,0,0,0,0,1,0,0,8.941553742,10,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,17.24924155,139.983006,2392.203409,5,4,5,5,1,6,5,5
0,1,8,56,0,0,0,1,0,0,1,15.74015572,14,2,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,11.64983735,220.132293,1719.173387,5,6,4,4,2,3,5,4
0,1,0,33,0,1,0,0,0,0,0,14.89835355,9,2,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,10.25635754,174.961766,1261.032763,4,3,4,4,3,3,5,4
0,0,6,36,0,0,0,1,0,0,0,8.359515606,13,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2.905283283,102.474625,558.2340556,2,2,1,5,4,3,4,3
1,0,1,54,0,0,0,1,0,0,0,9.982341124,8,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,5.827112819,169.944668,758.4775985,2,3,2,3,5,2,3,2
0,1,3,54,0,0,0,1,0,0,1,16.68178185,8,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,15.85002222,232.637807,2401.406545,5,4,5,5,2,4,4,3
0,1,1,59,0,0,0,0,0,0,0,9.84688181,11,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,4.95598008,199.990219,1342.862457,4,5,4,4,3,4,3,4
0,1,1,62,0,0,0,0,1,0,1,12.66717474,15,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,6.035737465,179.947583,795.4957358,2,3,2,4,4,2,4,2
0,1,1,43,1,0,0,0,1,0,1,11.30215199,12,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,12.02106494,195.006206,1447.196935,4,3,2,3,4,2,3,2
0,0,1,27,0,0,0,0,0,0,0,8.272244827,11,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,16.0708543,157.483594,1575.683555,3,3,4,6,2,4,4,3
0,0,1,88,0,1,0,0,0,0,0,4.550449856,17,2,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,2.861423443,115.002061,283.39178,2,3,3,4,4,3,2,2
0,1,1,63,1,0,0,0,0,0,1,10.2863601,10,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,4.98152586,207.609354,849.1972541,2,2,4,3,4,1,2,2
0,0,0,41,0,0,0,1,1,0,0,14.12145884,14,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,6.307178205,200.118516,1464.035068,2,3,3,4,3,2,3,3
1,0,4,42,0,1,0,0,0,0,0,15.06990851,14,2,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,14.23487852,162.529926,1641.938696,2,2,3,3,3,4,3,3
0,1,0,33,0,0,0,1,1,0,1,7.779622319,12,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,9.740709475,190.173699,1514.131966,2,2,3,4,5,2,3,2
0,0,7,84,0,0,0,1,1,0,1,8.284591121,8,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,10.57197066,242.628057,1649.312808,3,2,1,3,5,3,3,6
0,0,0,87,0,0,0,0,0,0,0,9.803905459,16,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,8.959047529,124.993537,684.6318529,5,5,5,5,4,4,4,3
0,1,0,41,1,0,0,0,0,0,0,6.348897952,10,3,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2.585228303,157.483594,394.0148722,1,2,2,2,2,3,3,1
0,0,1,60,1,0,0,0,0,0,0,7.151598137,13,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,9.532523799,137.439154,970.4682919,4,4,5,4,3,5,4,5
1,0,1,70,0,1,0,0,1,0,0,4.575363954,13,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,23.103996,235.159141,2522.88913,4,5,4,4,3,4,5,4
1,0,1,63,1,0,0,0,1,0,1,5.971214226,13,3,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,21.17839683,137.439154,1961.923965,3,4,4,5,4,4,3,3
1,0,1,49,0,1,0,0,0,0,1,10.26519974,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,11.58276897,187.609354,1849.484087,4,4,4,3,3,4,3,4
1,0,2,60,0,0,1,0,0,0,1,10.93514898,16,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3.940297464,159.947583,992.3501481,3,3,5,5,2,4,4,5
0,1,8,62,0,0,1,0,0,0,1,17.05256354,14,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1.473304337,245.131966,954.0290712,5,5,5,4,3,5,3,5
0,1,0,50,0,0,0,0,1,0,1,7.259022839,10,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,5.201330266,137.516476,665.4740915,6,5,5,4,2,4,5,3
0,0,0,24,0,0,1,0,0,0,0,9.531063533,10,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,14.86764776,147.478341,1446.203986,5,5,5,2,3,3,4,5
0,1,1,19,0,0,0,1,0,0,0,10.04585562,14,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,11.16903388,139.99789,1292.3206,5,5,5,4,3,5,4,3
0,0,2,62,0,0,0,0,1,0,0,7.248946018,10,1,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,16.84928353,172.47417,1729.837284,4,4,4,3,3,3,4,3
0,0,1,36,1,0,0,0,1,0,0,6.592317798,16,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6.198230305,104.962874,823.0046464,3,3,3,4,3,3,3,4
0,1,7,23,0,1,0,0,1,0,1,13.357551,8,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,2.462148717,192.470522,900.4043765,3,3,4,3,2,2,4,3
0,1,4,67,0,1,0,0,0,0,1,8.702618087,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,11.74635394,190.12704,1971.429689,3,3,4,5,3,4,3,4
0,0,4,79,0,0,1,0,0,0,1,7.044096971,13,2,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,5.690013293,245.145743,1201.484293,2,2,3,3,2,3,1,3
0,0,4,85,0,0,0,0,0,0,1,9.617602049,9,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,8.381515693,232.637807,1718.600163,6,6,5,3,5,4,4,4
1,0,1,80,0,0,1,0,1,0,1,11.19861363,10,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,3.365552603,134.950905,380.0501404,4,3,3,4,3,5,5,4
0,0,3,48,1,0,0,0,1,0,0,11.01996949,15,3,2,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,10.9750814,192.456745,1312.008382,4,4,4,4,4,5,5,5
0,1,4,85,0,0,0,1,1,0,0,7.846521648,14,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,6.10108047,207.638588,1080.159892,4,3,5,4,3,4,4,4
0,1,1,33,0,0,0,1,0,0,1,9.826229752,13,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,12.29558653,159.965008,1334.403775,4,5,3,4,4,5,3,4
0,0,0,18,0,0,1,0,0,0,0,10.08605721,13,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,16.8000196,245.145743,2188.672399,3,2,4,4,5,2,1,4
1,0,0,58,0,1,0,0,0,0,0,16.26782621,14,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,17.6210362,149.977753,1586.699491,3,3,2,5,4,3,5,3
1,0,2,81,0,0,1,0,0,0,1,10.05990041,11,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,7.138784756,212.641455,1500.69101,3,3,3,3,5,3,4,3
1,0,1,82,0,1,0,0,1,0,1,10.3853182,9,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,4.221959275,232.637807,1342.310858,5,4,4,3,4,4,5,4
0,1,0,28,0,0,0,0,1,0,1,13.43076227,17,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,10.90397471,277.63748,1710.958869,2,2,2,3,4,3,4,3
1,0,1,48,1,0,0,0,0,0,0,7.951590644,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1.665591776,112.455141,169.3992798,4,4,4,6,1,5,5,6
0,0,0,19,0,0,0,0,1,0,1,12.07096717,11,2,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,3.084376591,210.138,952.5914921,3,2,3,3,4,3,4,4
0,1,2,52,0,1,0,0,1,0,0,6.346778536,8,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,13.46565415,162.452604,1566.001524,4,4,4,4,3,4,3,5
1,0,1,77,0,0,0,1,0,0,0,12.1986895,16,2,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,19.244458,172.457857,1889.642423,4,4,3,4,4,3,3,4
0,0,1,39,0,1,0,0,0,0,0,11.10996233,17,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,5.254442453,172.44408,787.0962355,3,3,4,2,4,2,1,3
0,1,10,44,0,1,0,0,0,0,0,9.083448287,11,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,18.61278731,147.478341,1995.346628,5,4,5,3,3,3,4,4
0,1,2,84,0,0,1,0,0,0,0,8.763218085,9,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,6.325942162,169.937833,717.6823944,2,3,3,2,4,4,3,3
0,1,1,40,0,0,0,1,0,0,1,4.874661522,17,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,2.522962069,182.490006,676.6465414,3,3,4,3,3,3,3,5
0,1,1,23,0,0,0,0,1,0,1,4.924368526,11,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,3.508974199,192.470522,801.4709595,4,4,4,3,3,5,4,4
0,1,2,28,0,0,0,1,1,0,0,9.553427818,8,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,10.96319721,95.019486,1270.217581,5,4,3,3,5,4,2,3
1,0,2,22,0,1,0,0,1,0,0,18.39537758,11,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,14.16961729,169.944668,1624.799349,2,3,2,4,3,3,2,4
1,0,1,73,0,0,0,1,0,0,0,10.07963518,14,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,17.06899012,104.992311,1518.747945,5,5,5,4,2,5,5,5
1,0,0,67,0,0,0,0,1,0,0,7.048563699,14,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1.914386255,134.950905,272.9823095,4,3,3,3,4,3,3,3
1,0,2,25,0,0,0,0,0,0,1,5.236234219,12,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,4.991605214,212.669463,1259.735294,4,3,2,4,3,3,2,2
0,0,0,60,0,1,0,0,0,0,1,10.08565191,12,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,10.5903229,175.133074,1287.821218,4,4,4,4,5,3,5,4
1,0,1,36,0,0,1,0,0,0,0,7.565105658,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,5.440398012,112.484375,589.9932647,3,4,3,4,4,3,4,4
0,0,2,80,0,0,1,0,0,0,1,12.94031641,12,2,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,9.461939857,252.62403,1267.634616,4,4,3,4,5,3,3,2
0,0,8,42,0,0,1,0,1,0,0,10.84392109,17,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,13.44056701,105.010962,1541.134986,3,4,2,4,3,3,5,4
0,1,0,83,0,0,0,0,1,0,0,11.06959212,11,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,8.001673351,129.976324,955.0876357,3,3,4,3,4,4,3,3
1,0,2,34,0,1,0,0,1,0,0,11.56147327,15,3,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,4.135515169,117.485813,776.4780765,1,1,2,3,4,3,2,3
1,0,2,89,0,0,0,1,1,0,1,6.892345443,15,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,5.658327457,197.48762,893.5446642,3,2,3,4,3,3,3,3
0,1,1,22,0,1,0,0,1,0,1,13.24354261,7,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1.534192133,182.490006,736.9303356,4,4,4,4,4,3,3,3
0,1,0,81,0,0,1,0,1,0,1,8.27152774,13,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1.542556879,225.145743,1192.502878,1,3,4,3,3,3,3,3
1,0,1,28,0,1,0,0,1,0,0,8.363844619,10,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,20.91720893,182.443347,2633.809472,4,4,3,3,2,5,3,4
0,0,1,48,0,0,1,0,1,0,1,19.07180624,10,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,2.084396413,235.137219,1304.999684,5,5,3,4,4,4,3,3
1,0,0,82,0,0,0,1,1,0,0,12.13702885,9,2,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1.781895205,149.977753,292.4731737,4,5,5,3,2,4,5,5
0,0,1,76,0,0,1,0,0,0,1,14.78936522,10,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,5.207179461,159.964152,729.541703,4,4,5,2,3,6,5,5
0,0,4,20,0,0,0,0,1,0,0,12.1663565,8,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,8.932053699,167.456419,1197.180331,4,4,3,3,3,3,5,2
0,0,0,53,0,0,0,0,1,0,1,9.133118524,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,7.349620762,240.114868,1164.240281,3,3,3,5,4,3,5,4
0,1,0,86,0,0,1,0,0,0,1,10.43511467,11,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,7.073151031,245.146969,1489.301457,4,5,3,5,3,4,4,5
0,1,3,26,1,0,0,0,1,0,1,12.33031848,16,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,8.054118994,197.483972,1808.311421,5,4,5,4,2,5,3,4
0,0,0,38,0,0,1,0,1,0,1,13.40423523,11,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,4.902104964,177.48762,1350.716866,4,3,2,4,4,4,3,4
0,0,4,28,0,1,0,0,0,0,0,12.03070714,9,4,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,5.511437756,137.468388,910.210446,4,4,3,3,2,5,5,3
0,1,6,83,0,1,0,0,1,0,1,10.9783735,17,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,6.956508263,220.114868,1631.872719,3,3,3,2,4,3,2,4
1,0,8,35,0,1,0,0,1,0,0,12.47810556,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.964368923,92.455141,1193.589255,5,5,5,4,2,4,5,7
0,0,0,55,0,0,1,0,1,0,0,13.12045068,10,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,14.08939653,210.12704,1713.178075,3,5,3,3,3,3,3,2
1,0,1,85,0,0,0,1,0,0,1,13.25882319,15,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,6.951491551,200.118516,1356.299478,4,3,1,4,3,4,5,3
0,1,0,58,0,1,0,0,0,0,0,9.408080299,15,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,3.137169138,114.965789,386.0863102,5,4,5,2,5,3,3,4
0,0,4,37,0,0,0,1,0,0,1,6.860771245,5,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,11.85998919,134.980139,1299.066214,4,4,5,3,5,3,3,5
0,0,3,28,1,0,0,0,0,0,1,7.344740595,13,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,5.30268427,207.609354,1051.833922,2,2,4,5,3,4,4,2
0,1,2,71,0,0,0,1,1,0,1,9.741346714,13,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,2.566196093,240.114868,774.8506663,4,4,4,3,4,5,4,4
